"musician","album","label","edit","crow","core","thou"
"Bley, Paul","Closer","ESP",2,"No","No","Yes"
"Bley, Paul","Annette","Hat Art",2,"No","No","No"
"Bley, Paul","Time Will Tell","ECM",3,"No","Yes","No"
"Bley, Paul","Mindset","Soul Note",4,"No","No","No"
"Bley, Paul","Reality Check","Steeplechase",4,"No","No","No"
"Bley, Paul","Sankt Gerold","ECM",6,"No","No","No"
"Bley, Paul","Life Of A Trio: Saturday","Owl",7,"No","No","No"
"Bley, Paul","Homage To Carla","Owl",7,"No","No","No"
"Bley, Paul","Nothing To Declare","Justin Time",8,"No","No","No"
"Bley, Paul","Solo In Mondsee","ECM",9,"No","No","No"
"Bley, Paul","Not Two, Not One","ECM",10,"No","No","Yes"
"Bley, Paul","Axis","Improving Artists",10,"No","No","Yes"
"Bloom, Jane Ira","The Nearness","Arabesque",4,"No","No","Yes"
"Bloom, Jane Ira","Red Quartets","Arabesque",5,"No","No","No"
"Blue Notes","Live In South Africa, 1964","Ogun",10,"No","No","Yes"
"Bluiett, Hamiet","The Clarinet Family","Black Saint",1,"No","No","No"
"Bluiett, Hamiet","Birthright","India Nav",4,"No","No","Yes"
"Bluiett, Hamiet","Impossible To Keep","India Nav",4,"No","No","No"
"Bluiett, Hamiet","Live At Carlos I","Just A Memory",5,"No","No","No"
"Bluiett, Hamiet","Live At Knitting Factory","Knitting",5,"No","No","No"
"Bluiett, Hamiet","Young Warrior, Old Warrior","Mapleshade",9,"No","No","No"
"Bluiett, Hamiet","If Tress Could Talk","Mapleshade",9,"No","No","No"
"Blythe, Arthur","Lenox Ave. Breakdown","Koch",5,"Yes","Yes","Yes"
"Blythe, Arthur","Night Song","Clarity",7,"No","No","No"
"Blythe, Jimmy","State Street Ramblers","Cygnet",9,"No","No","No"
"Blythe, Jimmy","Messin' Around Blues","Delmark",10,"No","No","Yes"
"Bocage, Peter","With His Creole Serenaders","OJC",9,"No","No","No"
"Bonafede, Salvatore","For The Time Being","Cam Jazz",9,"No","No","No"
"Bonano, Sharkey","At Lenfant's Lounge","Storyville",10,"No","No","Yes"
"Bonner, Joe","Parade","Steeplechase",1,"No","No","No"
"Bonner, Joe","The Lost Melody","Steeplechase",1,"No","No","No"
"Bonner, Joe","Suite For Chocolate","Steeplechase",10,"No","No","Yes"
"Borgo, David","Reverence For Uncertainty","Circumvention",8,"No","No","No"
"Borstlap, Michiel","Sextet Live","Challenge",6,"No","No","No"
"Boussaguet, Pierre","Trio Europa","Emarcy",5,"No","No","No"
"Bowie, Lester","The Fire This Time","In + Out",2,"No","No","No"
"Bowie, Lester","Great Pretender","ECM",10,"No","No","Yes"
"Brackeen, Charles","Worshippers Come Nigh","Silkheart",1,"No","No","Yes"
"Brackeen, Joanne","Havin' Fun","Concord",2,"No","No","No"
"Brackeen, Joanne","Where Legends Dwell","Ken",2,"No","No","No"
"Brackeen, Joanne","Power Talk","Turnipseed",3,"No","No","No"
"Brackeen, Joanne","Pink Elephant Magic","Arkadia",6,"No","No","No"
"Brackeen, Joanne","Fi-Fi Goes To Heaven","Concord",10,"No","No","Yes"
"Braden, Don","After Dark","Criss Cross",2,"No","Yes","Yes"
"Braden, Don","Brighter Days","High Note",6,"No","No","No"
"Braden, Don","Contemporary Standards","Double Time",9,"No","No","No"
"Bradford, Perry","Ain't Gonna Play No Second","Frog",9,"No","No","No"
"Bradford, Perry","And Blues Singers","Document",10,"No","No","Yes"
"Bradshaw, Tiny","Breakin' Up The House","Proper",10,"No","No","Yes"
"Braff, Ruby","Inside & Out","Concord",3,"No","No","No"
"Braff, Ruby","Music From My Fair Lady","Concord",4,"No","No","No"
"Braff, Ruby","Calling Berlin V1","Arbors",4,"No","Yes","No"
"Braff, Ruby","First Set","Zephyr",4,"No","No","No"
"Braff, Ruby","RB & Larkins Play R & H","Vanguard",7,"No","No","Yes"
"Braff, Ruby","Complete Duets","Definitive",8,"No","No","No"
"Braff, Ruby","You Brought New Kind","Arbors",8,"No","No","No"
"Braff, Ruby","Complete Quartet","Gambit",9,"No","No","No"
"Braff, Ruby","Being With You","Arbors",10,"No","No","Yes"
"Braxton, Anthony","7 Comps (Trio) 1989","Hat Art",1,"No","No","No"
"Braxton, Anthony","Quartet (London) 1985","Leo",1,"No","No","Yes"
"Braxton, Anthony","Quartet (Birmingham) 1985","Leo",1,"No","No","Yes"
"Braxton, Anthony","Quartet (Coventry) 1985","Leo",2,"No","No","Yes"
"Braxton, Anthony","Six Monk's 1987","Black Saint",1,"No","No","No"
"Braxton, Anthony","Eugene 1989","Black Saint",1,"No","Yes","No"
"Braxton, Anthony","London (Solo) 1988","Impetus",1,"No","No","No"
"Braxton, Anthony","Willisau","Hat Art",2,"No","No","No"
